Id,WnvPresent
1,0.19825184
2,0.19825184
3,0.19825184
4,0.19825184
5,0.19825184
6,0.19825184
7,0.19825184
8,0.19825184
9,0.19825184
10,0.19825184
11,0.19825184
12,0.19825184
13,0.19825184
14,0.19825184
15,0.19825184
16,0.19825184
17,0.19825184
18,0.19825184
19,0.19825184
20,0.19825184
21,0.19825184
22,0.19825184
23,0.19825184
24,0.19825184
25,0.19825184
26,0.19825184
27,0.19825184
28,0.19825184
29,0.19825184
30,0.19825184
31,0.19825184
32,0.19825184
33,0.19825184
34,0.19825184
35,0.19825184
36,0.19825184
37,0.19825184
38,0.19825184
39,0.19825184
40,0.19825184
41,0.19825184
42,0.19825184
43,0.19825184
44,0.19825184
45,0.19825184
46,0.19825184
47,0.19825184
48,0.19825184
49,0.19825184
50,0.19825184
51,0.19825184
52,0.19825184
53,0.19825184
54,0.19825184
55,0.19825184
56,0.19825184
57,0.19825184
58,0.19825184
59,0.19825184
60,0.19825184
61,0.19825184
62,0.19825184
63,0.19825184
64,0.19825184
65,0.19825184
66,0.19825184
67,0.19825184
68,0.19825184
69,0.19825184
70,0.19825184
71,0.19825184
72,0.19825184
73,0.19825184
74,0.19825184
75,0.19825184
76,0.19825184
77,0.19825184
78,0.19825184
79,0.19825184
80,0.19825184
81,0.19825184
82,0.19825184
83,0.19825184
84,0.19825184
85,0.19825184
86,0.19825184
87,0.19825184
88,0.19825184
89,0.19825184
90,0.19825184
91,0.19825184
92,0.19825184
93,0.19825184
94,0.19825184
95,0.19825184
96,0.19825184
97,0.19825184
98,0.19825184
99,0.19825184
100,0.19825184
101,0.19825184
102,0.19825184
103,0.19825184
104,0.19825184
105,0.21369432
106,0.21369432
107,0.21369432
108,0.21369432
109,0.21369432
110,0.21369432
111,0.21369432
112,0.21369432
113,0.19825184
114,0.19825184
115,0.19825184
116,0.19825184
117,0.19825184
118,0.19825184
119,0.19825184
120,0.19825184
121,0.19825184
122,0.19825184
123,0.19825184
124,0.19825184
125,0.19825184
