Id,SalePrice
2658,129689.63865292518
2718,179455.6179460673
2414,209746.9395005283
1989,105123.41928787976
625,172827.07271542662
333,48344.457132333104
1327,144813.00775053308
858,164523.98794132302
95,146778.15154273598
1568,179850.2465856335
2482,130515.17263050974
1364,254804.88490195034
2584,130843.79931993813
818,320183.37968242494
2673,158615.2277829203
2089,120408.53376706611
1297,137843.01170290215
790,123677.13358690687
2616,194182.71036678329
720,186408.3285203871
222,139906.57439388733
557,140480.146507553
1148,176932.10178915792
2766,160096.31360386152
534,192199.0929304997
1452,119790.88386967391
630,123034.60348459793
2648,142449.05747116936
125,171502.0382311752
1904,93044.42201175891
1670,96029.08100066832
756,224979.60665596017
717,225560.34240524
1032,137668.894195027
852,222519.1249656226
1731,185655.98719909764
2639,119882.53333270428
2071,75196.24050365276
1267,96370.38104346787
1851,177186.32188830647
567,138090.56103392076
2439,204761.23325294096
1898,165073.10190677014
647,171823.96792120763
2256,252182.59697262215
979,91296.75304788392
1444,227820.26831205608
2485,124515.76879946707
157,134597.5547288868
88,110256.65853226873
2003,120516.7660393214
186,215988.620096685
1425,256806.19496325174
2695,245838.44078969106
738,99216.92721096802
395,155686.94155363474
1353,153810.70309167606
1878,137701.0362951554
390,128763.51655292627
1456,240137.66048467686
1103,346580.5168153812
1387,66075.58012978647
2070,142767.13460477942
1199,170209.84684296386
2479,175005.5808393819
501,328794.7743132234
2362,97873.83272767314
1718,195526.75358946505
2188,89333.59801572878
1483,161074.71091883455
2557,87827.15578211771
437,327748.9210484866
2224,217516.40658864687
1628,156294.064277272
397,122833.82552579988
587,214004.56568563054
971,182941.1981429144
2611,130983.65401817442
1887,117355.10659592462
2399,330962.99156664434
2148,198756.80496837676
304,224708.21338098854
1997,158095.75523802763
2817,99578.02061639367
1431,210592.7775955911
427,298532.7423841745
263,123561.67736493441
598,175734.9082940203
2895,234017.41924723005
687,159353.76813984296
1822,129435.23537279421
2191,93669.82127221137
179,147053.8333842204
1009,181503.1301895536
2010,136969.6262625696
1991,150496.91323027486
1411,181274.4882574941
1721,218074.77334512342
1144,193409.9647226712
593,220601.81834615517
575,406902.32027848833
1249,186534.74280044672
1604,131712.51748110133
1064,417133.8515953594
1923,150962.28464280753
1988,166389.73391752466
2325,163874.42853705218
114,200148.612460277
2700,189952.84667712174
217,185739.65062603596
343,169106.53267756855
386,224384.3516867332
2005,142610.50260768578
2908,192886.12451697022
1814,216082.87889390625
2446,479488.2434416708
208,144250.27151676326
1679,98471.78475515195
822,308392.1603675762
6,195757.95992301745
1781,354430.2858719949
2397,286782.96365036187
2340,272790.92731055035
1618,186178.70348837058
2843,174117.1697080749
1061,326377.83439388534
2786,131022.3187542234
1935,114571.13754396235
1341,119753.40492431505
521,268241.6278577381
2136,147298.13671390945
996,210966.4177492016
227,136498.0079591257
135,176054.28824865248
1167,135622.19873598946
294,225052.63967411203
1776,197553.90534316818
540,167849.19539172956
1717,196904.29029312896
2303,152883.17698545894
116,175906.9693849706
127,134589.39023309134
1371,259156.03988269425
1014,127575.4399335085
1507,154383.73673150636
702,171140.97186306707
750,164999.87813829412
261,151958.6016323195
1559,185143.37318372529
577,260902.80379259857
2812,198948.47037976404
2080,137753.01058191486
1368,162676.15486104984
2376,117437.93561694701
659,124132.0283013017
1235,114828.25778544729
332,62847.71981401327
1917,148934.07073349197
2094,244635.6076483915
1460,272626.1398270837
1471,229580.4866483849
1509,125149.02217674755
1922,102011.90386504974
433,415820.10912545363
460,220981.54291364268
1116,239938.51937816932
1137,170085.3331047943
53,183882.71566608758
2354,266147.68058563763
1475,192897.8936155855
1761,476471.24640377855
842,151512.077701076
2739,167703.5093398333
2509,128025.18604671344
1007,209311.92902583015
2610,171118.57771197375
1952,86589.67181828812
2719,171974.10391335897
2921,62592.47951497698
1966,118759.75986777392
292,178968.52954501793
1204,199235.5374290708
1829,310457.1134443151
2419,184847.9709913163
391,150340.88380103593
798,84192.04232102958
481,199962.77022576373
193,172687.20216883154
555,109592.5827044325
899,63558.36161268639
2357,170315.18576539977
328,126695.92307245382
1356,99300.28070377246
1154,83666.1195144924
1730,185553.621986091
2249,190995.9963840652
1119,284187.9672670358
2856,183989.79200074106
1394,144186.07554514756
2587,126288.96281537492
61,347633.0033626015
2661,172823.32628889018
2711,116562.21809759049
1147,169189.25354273905
757,128976.35152215687
2623,100027.98812685884
2378,89190.03424593537
1413,168110.85690621572
1722,202259.9780732289
1112,244845.267075054
1623,197180.1347648371
1201,197736.03771729147
1513,82298.73686747145
957,397352.3613727464
1171,244204.42227437883
1145,181460.8222914265
2726,237446.85887353736
703,173128.09166785612
760,240884.35856906537
1964,119824.29560887115
2512,153635.8308530302
159,185041.28174816884
1281,181280.4153462484
468,202778.38722370245
290,149750.15009164045
665,114133.64940337629
1463,229312.04557223144
1792,221013.03523636155
923,149205.21621869828
500,306948.4885742068
1408,206079.07402759593
331,85925.85132277619
170,163656.29235240511
2192,95142.32920662645
2571,250906.67733090423
2314,158199.82178451144
2647,95006.24646092857
422,367158.23702134355
2457,342380.3865545449
1838,191387.94794229852
2805,251233.55871507828
1645,149703.81185169774
1711,282519.4648478948
2825,253589.70510094514
322,342383.05599789217
2103,266388.9713561883
342,103743.77952712218
600,139989.92176301853
488,194061.62069542147
1725,253336.4416398662
2246,269950.6442405444
2847,189001.79368330416
806,217084.7108375311
530,238783.30163201768
963,196414.06452391727
2678,103270.47203104693
171,103088.58425055158
2401,351524.8526585312
